timestamp,1INCH,AAVE,ADA,APE,APT,ARB,ATH,ATOM,AVAX,AXS,BAND,BAT,BCH,BICO,BLUR,BNB,BSV,BTC,CELO,CFX,CHZ,COMP,CORE,CRO,CTC,DOGE,DOT,EGLD,ENJ,ENS,EOS,ETC,ETH,ETHW,FIL,FLOKI,FLOW,GAS,GMX,GRT,ICP,ID,IMX,JST,KSM,LINK,LRC,LTC,LUNA,LUNC,MANA,MASK,METIS,MEW,MINA,MKR,NEAR,NEO,ONT,OP,ORDI,POL,PYTH,RON,RVN,SHIB,SNX,SOL,STORJ,STRK,STX,T,THETA,TON,UMA,UNI,WOO,XLM,XRP,XTZ,YFI,ZETA,ZIL,ZK,ZRX
2025-04-06 11:12:51.917742,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,-1,0,-1,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:22:57.951097,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,-1,0,-1,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:30:00.000000,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:30:58.891047,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:32:52.773253,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:42:53.203373,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 11:52:48.696202,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 12:02:55.181430,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 12:12:52.305686,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
2025-04-06 12:22:48.552727,0,0,0,0,1,0,0,-1,1,1,1,0,0,0,0,-1,0,-1,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,-1,0,1,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,-1,1,0,1,0,0,0,0,0,-1,0,0,-1,0,0
