symbol,timestamp,action,old_size,new_size,price,old_value,new_value
ETC-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-68.7,-75.3,18.74,-1287.4379999999999,-1411.1219999999998
ZETA-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,4770.0,5380.0,0.2603,1241.6309999999999,1400.4139999999998
DOT-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-278.0,-315.0,4.498,-1250.444,-1416.8700000000001
GMX-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,77.30000000000001,86.80000000000001,15.86,1225.978,1376.6480000000001
EGLD-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-55.800000000000004,-62.6,22.69,-1266.102,-1420.394
TON-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,408.0,456.0,3.094,1262.3519999999999,1410.864
ZK-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,14500.0,16090.0,0.0873,1265.8500000000001,1404.6570000000002
BSV-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-0.4,-40.8,34.3,-13.719999999999999,-1399.4399999999998
XRP-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-540.0,-599.0,2.3862,-1288.548,-1429.3338
SOL-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-8.85,-0.06,142.08,-1257.4080000000001,-8.5248
XTZ-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-1737.0,-1900.0,0.7456,-1295.1072000000001,-1416.64
LUNC-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-20130000.0,-21890000.0,6.453e-05,-1298.9888999999998,-1412.5617
1INCH-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,5675.0,6315.0,0.2243,1272.9025,1416.4545
ADA-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-1480.0,-1689.9999999999998,0.8586,-1270.728,-1451.0339999999999
CRO-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,-17070.0,-18650.0,0.07693,-1313.1951,-1434.7445
MANA-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,4680.0,5170.0,0.2719,1272.492,1405.723
GRT-USDT-SWAP,2025-03-03 21:20:40.576300,rebalance,11710.0,12770.0,0.1095,1282.245,1398.315
CFX-USDT-SWAP,2025-03-03 22:02:40.545100,open,0.0,13560.0,0.1027,0.0,1392.612
CFX-USDT-SWAP,2025-03-03 22:02:40.545100,close,-20.0,0.0,0.1027,-2.054,0.0
