2023/12/11 22:35:51.388:INFO:session_signal:strat pairs1, sym: ALGO-USDT-SWAP__CHZ-USDT-SWAP, action: -1, quantities:[26442.133391553616, 64595.86047809764], @(0.2022, 0.08277) - nn, entry
2023/12/12 00:01:37.638:INFO:session_signal:strat pairs2_edo, sym: ARB-USDT-SWAP__ETC-USDT-SWAP, action: 1, quantities:[8200.258955545964, 433.3941605839416], @(1.0975, 20.18) - xx, exitsignal
2023/12/12 00:25:37.536:INFO:session_signal:strat pairs2_edo, sym: FIL-USDT-SWAP__QTUM-USDT-SWAP, action: 1, quantities:[1847.8895156584322, 2794.9396881435714], @(4.645, 3.143) - xx, exitsignal
2023/12/12 00:55:37.428:INFO:session_signal:strat pairs2_edo, sym: ALGO-USDT-SWAP__CHZ-USDT-SWAP, action: -1, quantities:[45109.21177587844, 114265.09502044744], @(0.2106, 0.08314) - nn, entry
2023/12/12 01:05:52.192:INFO:session_signal:strat basket1, sym: NEAR-USDT-SWAP__ALGO-USDT-SWAP, action: 1, quantities:[3256.7977636768696, 35073.20668575091], @(2.24, 0.208) - nn, entry
2023/12/12 02:57:37.374:INFO:session_signal:strat pairs2_edo, sym: APT-USDT-SWAP__WAVES-USDT-SWAP, action: -1, quantities:[1176.5580105023282, 4190.560211733568], @(8.0744, 2.267) - nn, entry
2023/12/12 09:55:38.269:INFO:session_signal:strat pairs2_edo, sym: ALGO-USDT-SWAP__CHZ-USDT-SWAP, action: 1, quantities:[45109.21177587844, 114265.09502044744], @(0.2, 0.08326) - xx, exitsignal
2023/12/12 10:01:38.176:INFO:session_signal:strat pairs1, sym: BCH-USDT-SWAP__BSV-USDT-SWAP, action: -1, quantities:[23.3, 108.0], @(233.2, 48.96) - xx, exitsignal
2023/12/12 10:25:37.923:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__MASK-USDT-SWAP, action: -1, quantities:[5967.336683417085, 2715.8376214979985], @(1.592, 3.498) - nn, entry
2023/12/12 13:29:38.799:INFO:session_signal:strat pairs1, sym: BNB-USDT-SWAP__OP-USDT-SWAP, action: -1, quantities:[21.84, 2179.0], @(251.4, 2.29) - xx, exitsignal
2023/12/12 13:33:38.585:INFO:session_signal:strat pairs1, sym: EOS-USDT-SWAP__MATIC-USDT-SWAP, action: 1, quantities:[6442.288517264725, 5674.300102567808], @(0.7854, 0.8917) - nn, entry
2023/12/12 14:01:38.739:INFO:session_signal:strat pairs1, sym: APT-USDT-SWAP__ARB-USDT-SWAP, action: -1, quantities:[595.9321494091117, 4408.259604185753], @(8.6104, 1.164) - nn, entry
2023/12/12 14:05:52.447:INFO:session_signal:strat pairs1, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: 1, quantities:[87.7, 429.0], @(63.31, 12.204) - xx, exitsignal
2023/12/12 14:05:53.245:INFO:session_signal:strat basket1, sym: NEAR-USDT-SWAP__GRT-USDT-SWAP, action: -1, quantities:[3250.0, 50832.58413095859], @(2.43, 0.1603) - xn, reshuffle signal
2023/12/12 14:27:38.522:INFO:session_signal:strat pairs1, sym: APT-USDT-SWAP__ARB-USDT-SWAP, action: -1, quantities:[578.2692167324475, 4391.253632999669], @(8.8255, 1.1622) - nn, entry
2023/12/12 14:33:38.776:INFO:session_signal:strat pairs2_edo, sym: AXS-USDT-SWAP__GALA-USDT-SWAP, action: -1, quantities:[1213.4372205901136, 276484.2840512223], @(7.266, 0.03112) - xx, exitsignal
2023/12/12 14:35:52.701:INFO:session_signal:strat basket1, sym: NEAR-USDT-SWAP__GRT-USDT-SWAP, action: -1, quantities:[3250.0, 50792.80300890334], @(2.418, 0.1611) - xn, reshuffle signal
2023/12/12 14:59:38.686:INFO:session_signal:strat pairs2_edo, sym: EOS-USDT-SWAP__MATIC-USDT-SWAP, action: 1, quantities:[12212.366628101297, 10722.34762979684], @(0.7779, 0.886) - nn, entry
2023/12/12 15:29:38.362:INFO:session_signal:strat pairs1, sym: APT-USDT-SWAP__ARB-USDT-SWAP, action: -1, quantities:[596.5859616954128, 4578.936767110076], @(8.7797, 1.1439) - nn, entry
2023/12/12 18:01:38.668:INFO:session_signal:strat pairs1, sym: LINK-USDT-SWAP__SOL-USDT-SWAP, action: -1, quantities:[485.0, 116.0], @(14.259, 66.18) - xx, exitsignal
2023/12/12 18:05:52.611:INFO:session_signal:strat basket1, sym: NEAR-USDT-SWAP__FIL-USDT-SWAP, action: -1, quantities:[3250.0, 1662.9010494763593], @(2.27, 4.55) - xn, reshuffle signal
2023/12/12 21:05:54.35:INFO:session_signal:strat basket1, sym: GALA-USDT-SWAP__APT-USDT-SWAP, action: 1, quantities:[0.0, 872.5095981909263], @(0.03045, 8.9876) - xn, reshuffle signal
2023/12/12 21:29:38.628:INFO:session_signal:strat pairs1, sym: ARB-USDT-SWAP__ETC-USDT-SWAP, action: -1, quantities:[4450.492367087652, 264.75685628500116], @(1.1999, 20.17) - nn, entry
2023/12/12 21:35:52.576:INFO:session_signal:strat basket1, sym: GALA-USDT-SWAP__APT-USDT-SWAP, action: 1, quantities:[0.0, 869.2243746689527], @(0.03033, 9.085) - xn, reshuffle signal
2023/12/12 22:05:51.869:INFO:session_signal:strat pairs2_edo, sym: APT-USDT-SWAP__WAVES-USDT-SWAP, action: 1, quantities:[1176.5580105023282, 4190.560211733568], @(9.1074, 2.212) - xx, exitstoploss
2023/12/12 22:31:38.768:INFO:session_signal:strat pairs2_edo, sym: ALGO-USDT-SWAP__CHZ-USDT-SWAP, action: 1, quantities:[48918.640576725025, 114045.61824729892], @(0.1942, 0.0833) - nn, entry
2023/12/13 00:09:47.527:INFO:session_signal:strat pairs2_edo, sym: BAND-USDT-SWAP__MASK-USDT-SWAP, action: 1, quantities:[5967.336683417085, 2715.8376214979985], @(1.58, 3.521) - xx, exitsignal
2023/12/13 00:25:47.792:INFO:session_signal:strat pairs2_edo, sym: APT-USDT-SWAP__ARB-USDT-SWAP, action: 1, quantities:[1067.7636533252407, 7709.787372179841], @(8.8971, 1.2322) - nn, entry
2023/12/13 01:29:49.418:INFO:session_signal:strat pairs2_edo, sym: COMP-USDT-SWAP__MASK-USDT-SWAP, action: 1, quantities:[190.34261671007815, 2744.8714244438024], @(49.91, 3.461) - nn, entry
2023/12/13 04:39:56.173:INFO:session_signal:strat pairs2_edo, sym: APT-USDT-SWAP__ARB-USDT-SWAP, action: -1, quantities:[1067.7636533252407, 7709.787372179841], @(8.6833, 1.131) - xx, exitsignal
2023/12/13 05:06:09.542:INFO:session_signal:strat pairs2_edo, sym: ARB-USDT-SWAP__ETC-USDT-SWAP, action: 1, quantities:[8434.697682677794, 481.500253421186], @(1.1263, 19.73) - nn, entry
2023/12/13 05:25:57.39:INFO:session_signal:strat pairs2_edo, sym: APE-USDT-SWAP__ICP-USDT-SWAP, action: -1, quantities:[5328.09871003926, 1723.8250771184903], @(1.587, 5.739) - xx, exitstoploss
2023/12/13 05:55:57.607:INFO:session_signal:strat pairs2_edo, sym: LDO-USDT-SWAP__SUI-USDT-SWAP, action: -1, quantities:[4349.81684981685, 15146.683673469388], @(2.184, 0.6272) - nn, entry
2023/12/13 09:10:03.970:INFO:session_signal:strat pairs2_edo, sym: 1INCH-USDT-SWAP__LPT-USDT-SWAP, action: -1, quantities:[23738.130934532735, 1378.8098693759073], @(0.3615, 6.116) - xx, exitsignal
2023/12/13 10:10:05.677:INFO:session_signal:strat pairs2_edo, sym: ADA-USDT-SWAP__FTM-USDT-SWAP, action: -1, quantities:[16550.522648083625, 25829.255029907556], @(0.574, 0.3678) - nn, entry
2023/12/13 16:26:18.464:INFO:session_signal:strat pairs2_edo, sym: ETH-USDT-SWAP__LTC-USDT-SWAP, action: -1, quantities:[4.317161398214967, 128.6391333784699], @(2215.55, 72.29) - xx, exitsignal
2023/12/13 17:00:19.588:INFO:session_signal:strat pairs2_edo, sym: GALA-USDT-SWAP__MAGIC-USDT-SWAP, action: -1, quantities:[313842.0878757846, 10746.606334841628], @(0.03027, 0.884) - nn, entry
2023/12/13 21:58:28.984:INFO:session_signal:strat pairs2_edo, sym: SHIB-USDT-SWAP__XRP-USDT-SWAP, action: 1, quantities:[957564761.6167724, 15384.615384615383], @(9.778e-06, 0.6281) - xx, exitsignal
2023/12/13 22:26:29.839:INFO:session_signal:strat pairs2_edo, sym: AR-USDT-SWAP__NEO-USDT-SWAP, action: -1, quantities:[1107.4842620657496, 736.4341085271318], @(8.578, 12.9) - nn, entry
2023/12/13 23:26:31.646:INFO:session_signal:strat pairs2_edo, sym: BCH-USDT-SWAP__BNB-USDT-SWAP, action: -1, quantities:[40.807560137457045, 38.99835796387521], @(236.1, 253.1) - xx, exitsignal
2023/12/13 23:54:32.196:INFO:session_signal:strat pairs2_edo, sym: AAVE-USDT-SWAP__DOT-USDT-SWAP, action: 1, quantities:[100.32738409546943, 1246.065057712487], @(94.69, 7.624) - nn, entry
2023/12/14 06:38:45.295:INFO:session_signal:strat pairs2_edo, sym: EOS-USDT-SWAP__MATIC-USDT-SWAP, action: -1, quantities:[12212.366628101297, 10722.34762979684], @(0.7849, 0.8836) - xx, exitsignal
2023/12/14 07:04:45.993:INFO:session_signal:strat pairs2_edo, sym: EOS-USDT-SWAP__FIL-USDT-SWAP, action: 1, quantities:[12126.627521062037, 1991.1968140850975], @(0.7834, 4.771) - nn, entry
2023/12/14 08:54:49.607:INFO:session_signal:strat pairs2_edo, sym: ADA-USDT-SWAP__FTM-USDT-SWAP, action: 1, quantities:[16550.522648083625, 25829.255029907556], @(0.6371, 0.3974) - xx, exitsignal
2023/12/14 08:58:49.677:INFO:session_signal:strat pairs2_edo, sym: AAVE-USDT-SWAP__DOT-USDT-SWAP, action: -1, quantities:[100.32738409546943, 1246.065057712487], @(95.16, 7.321) - xx, exitsignal
2023/12/14 11:40:54.926:INFO:session_signal:strat pairs2_edo, sym: FTM-USDT-SWAP__LINK-USDT-SWAP, action: -1, quantities:[22185.894441849603, 628.9308176100628], @(0.4282, 15.105) - nn, entry
2023/12/14 14:25:00.368:INFO:session_signal:strat pairs2_edo, sym: ENS-USDT-SWAP__LPT-USDT-SWAP, action: 1, quantities:[1061.4525139664806, 1451.4896867838045], @(8.95, 6.545) - nn, entry
2023/12/14 16:29:03.407:INFO:session_signal:strat pairs2_edo, sym: CRV-USDT-SWAP__OP-USDT-SWAP, action: -1, quantities:[13804.126707352512, 4066.7808219178087], @(0.633, 2.2259) - xx, exitsignal
2023/12/14 21:05:25.578:INFO:session_signal:strat pairs2_edo, sym: AAVE-USDT-SWAP__EGLD-USDT-SWAP, action: -1, quantities:[92.19720496894409, 157.2327044025157], @(103.04, 60.42) - nn, entry
2023/12/15 01:55:22.264:INFO:session_signal:strat pairs2_edo, sym: COMP-USDT-SWAP__MASK-USDT-SWAP, action: -1, quantities:[190.34261671007815, 2744.8714244438024], @(51.63, 3.525) - xx, exitsignal
2023/12/15 02:21:22.982:INFO:session_signal:strat pairs2_edo, sym: COMP-USDT-SWAP__QTUM-USDT-SWAP, action: -1, quantities:[183.78796672470497, 2963.194011228946], @(51.69, 3.206) - nn, entry
2023/12/15 06:25:30.882:INFO:session_signal:strat pairs2_edo, sym: FTM-USDT-SWAP__LINK-USDT-SWAP, action: 1, quantities:[22185.894441849603, 628.9308176100628], @(0.4179, 15.005) - xx, exitsignal
2023/12/15 08:25:34.402:INFO:session_signal:strat pairs2_edo, sym: CRV-USDT-SWAP__OP-USDT-SWAP, action: -1, quantities:[15026.890224612465, 4405.694940407179], @(0.6322, 2.1563) - nn, entry
2023/12/15 09:25:35.957:INFO:session_signal:strat pairs2_edo, sym: EOS-USDT-SWAP__FIL-USDT-SWAP, action: -1, quantities:[12126.627521062037, 1991.1968140850975], @(0.7986, 4.766) - xx, exitsignal
2023/12/15 10:07:36.980:INFO:session_signal:strat pairs2_edo, sym: AVAX-USDT-SWAP__NEAR-USDT-SWAP, action: -1, quantities:[232.1943588991543, 4250.559284116332], @(40.914, 2.235) - nn, entry
2023/12/15 12:55:43.164:INFO:session_signal:strat pairs2_edo, sym: AR-USDT-SWAP__NEO-USDT-SWAP, action: 1, quantities:[1107.4842620657496, 736.4341085271318], @(9.855, 13.478) - xx, exitsignal
2023/12/15 12:57:42.528:INFO:session_signal:strat pairs2_edo, sym: AAVE-USDT-SWAP__EGLD-USDT-SWAP, action: 1, quantities:[92.19720496894409, 157.2327044025157], @(117.17, 59.53) - xx, exitstoploss
2023/12/15 13:27:43.64:INFO:session_signal:strat pairs2_edo, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: 1, quantities:[160.20236087689713, 706.424747174301], @(59.3, 13.448) - nn, entry
2023/12/15 15:07:46.115:INFO:session_signal:strat pairs2_edo, sym: AR-USDT-SWAP__CHZ-USDT-SWAP, action: -1, quantities:[905.0204820424883, 112532.5752191424], @(10.497, 0.08442) - nn, entry
2023/12/16 06:32:18.472:INFO:session_signal:strat pairs2_edo, sym: ENS-USDT-SWAP__LPT-USDT-SWAP, action: -1, quantities:[1061.4525139664806, 1451.4896867838045], @(8.686, 7.385) - xx, exitstoploss
2023/12/16 06:58:18.537:INFO:session_signal:strat pairs2_edo, sym: 1INCH-USDT-SWAP__LPT-USDT-SWAP, action: 1, quantities:[25913.802509547193, 1229.4551572408438], @(0.3666, 7.727) - nn, entry
2023/12/16 07:32:19.505:INFO:session_signal:strat pairs2_edo, sym: EGLD-USDT-SWAP__NEO-USDT-SWAP, action: -1, quantities:[160.20236087689713, 706.424747174301], @(60.71, 13.105) - xx, exitsignal
