ts;free;total;asset
2025-03-24T06:23:42.711371+00:00;13100.322317825212;13100.322317825212;-206.42394000000192
2025-03-24T06:33:39.243705+00:00;13123.045418725213;13123.083777825213;-288.38775999999916
2025-03-24T06:43:36.901128+00:00;13145.17670262521;13145.19842502521;-283.9833399999989
2025-03-24T06:53:44.463193+00:00;13131.48712782521;13131.48712782521;-339.2490000000031
2025-03-24T07:03:41.676311+00:00;13139.764997025208;13139.764997025208;-197.8328199999989
2025-03-24T07:13:41.081595+00:00;13167.816737025209;13167.816737025209;-168.21651999999912
2025-03-24T07:23:38.153357+00:00;13162.853017025209;13162.853017025209;-174.07344999999992
2025-03-24T07:33:44.053233+00:00;13148.892138825217;13148.892138825217;-152.23405999999963
2025-03-24T07:43:43.529907+00:00;13152.531998825216;13152.531998825216;-147.46058000000008
2025-03-24T07:53:38.773538+00:00;13204.668118825215;13204.668118825215;-96.26427000000203
2025-03-24T08:03:35.548813+00:00;13246.720839802132;13246.720839802132;-51.34274999999954
2025-03-24T08:13:44.022120+00:00;13264.25320380213;13264.25320380213;-106.52374000000232
2025-03-24T08:23:40.361005+00:00;13239.72924380213;13239.72924380213;-131.69827000000163
2025-03-24T08:33:36.516135+00:00;13230.61513380213;13230.61513380213;-137.49772000000053
2025-03-24T08:43:42.001250+00:00;13255.87897380213;13255.87897380213;-114.23665000000109
2025-03-24T08:53:38.162332+00:00;13227.52453380213;13227.52453380213;-143.1593699999999
2025-03-24T09:03:43.823001+00:00;13228.76928380213;13228.76928380213;-142.22143000000094
2025-03-24T09:13:41.202940+00:00;13256.81491380213;13256.81491380213;-114.22891000000126
2025-03-24T09:23:36.344500+00:00;13274.25940380213;13274.25940380213;-96.39591000000135
2025-03-24T09:33:40.248240+00:00;13255.844473602136;13255.844473602136;-154.44137999999987
2025-03-24T09:43:44.028668+00:00;13293.469123602137;13293.469123602137;-116.96695999999939
2025-03-24T09:53:38.938693+00:00;13248.605163602137;13248.605163602137;-161.60438000000124
2025-03-24T10:03:44.094055+00:00;13261.484133602136;13261.484133602136;-148.7513300000004
2025-03-24T10:13:40.152211+00:00;13289.243553602137;13289.243553602137;-121.27428999999987
2025-03-24T10:23:36.720166+00:00;13277.909613602136;13277.909613602136;-131.17853000000144
2025-03-24T10:33:41.784756+00:00;13257.648303602138;13257.648303602138;-151.66553000000013
2025-03-24T10:43:40.368903+00:00;13267.611533602138;13267.611533602138;-142.52106000000055
2025-03-24T10:53:44.408097+00:00;13239.010953602137;13239.010953602137;-171.19883999999948
2025-03-24T11:03:38.419122+00:00;13259.369573602136;13259.369573602136;-150.83967999999948
2025-03-24T11:13:43.598678+00:00;13259.045573602136;13259.045573602136;-151.16530000000068
2025-03-24T11:23:39.446983+00:00;13271.773483602137;13271.773483602137;-139.85339000000033
2025-03-24T11:33:44.810987+00:00;13273.533843602136;13273.533843602136;-136.67589999999979
2025-03-24T11:43:39.531642+00:00;13324.981323602136;13324.981323602136;-85.47701000000185
2025-03-24T11:53:44.135520+00:00;13333.691603602136;13333.691603602136;-76.4894499999998
2025-03-24T12:03:39.255579+00:00;13325.394552807193;13325.394552807193;-84.29300999999981
2025-03-24T12:13:36.543128+00:00;13323.828532807192;13323.828532807192;-86.56080999999966
2025-03-24T12:23:42.428245+00:00;13319.034222807193;13319.034222807193;-93.25282999999934
2025-03-24T12:33:38.223885+00:00;13306.004542807194;13306.004542807194;-104.71930000000117
2025-03-24T12:43:42.974076+00:00;13312.618992807193;13312.618992807193;-97.64444999999981
2025-03-24T12:53:37.643495+00:00;13348.968952807192;13348.968952807192;-61.454270000000875
2025-03-24T13:03:44.717014+00:00;13409.4801856072;13409.4801856072;-219.61007
2025-03-24T13:13:42.352244+00:00;13441.2577356072;13441.2577356072;-187.90231000000077
2025-03-24T13:23:37.744076+00:00;13377.3758683272;13377.3758683272;-201.86379000000125
2025-03-24T13:33:42.764037+00:00;13361.326788327202;13361.326788327202;-216.33516000000003
2025-03-24T13:43:40.449774+00:00;13304.314068327201;13304.314068327201;-274.6977099999988
2025-03-24T13:53:35.781276+00:00;13339.927028327202;13339.927028327202;-240.23673999999917
2025-03-24T14:03:40.934214+00:00;13310.3528983272;13310.3528983272;-267.8850900000005
2025-03-24T14:13:36.813333+00:00;13268.294038327202;13268.294038327202;-310.717570000001
2025-03-24T14:23:44.905152+00:00;13352.564188327202;13352.564188327202;-226.29074000000034
2025-03-24T14:33:41.190968+00:00;13378.890357547194;13378.890357547194;-313.6090300000008
2025-03-24T14:43:38.325829+00:00;13342.804137547193;13342.804137547193;-347.42111999999986
2025-03-24T14:53:43.472937+00:00;13354.540187547193;13354.540187547193;-335.87193999999835
2025-03-24T15:03:38.332165+00:00;13427.310117547193;13427.310117547193;-263.13496
2025-03-24T15:13:44.249430+00:00;13439.384097547192;13439.384097547192;-251.02348000000134
2025-03-24T15:23:39.686224+00:00;13439.393857547191;13439.393857547191;-253.2388400000017
2025-03-24T15:33:35.527766+00:00;13474.002047547192;13474.002047547192;-215.77814999999998
2025-03-24T15:43:41.853382+00:00;13451.980437167189;13451.980437167189;-257.84920000000056
2025-03-24T15:53:37.844132+00:00;13463.74767716719;13463.74767716719;-246.09007999999915
2025-03-24T16:03:43.627426+00:00;13473.07260174247;13473.07260174247;-231.5637100000007
2025-03-24T16:13:39.856409+00:00;13512.44661174247;13512.44661174247;-195.58367999999868
2025-03-24T16:23:44.429257+00:00;13540.19341174247;13540.19341174247;-167.6186999999993
2025-03-24T16:33:39.237518+00:00;13555.280031742468;13555.280031742468;-153.35700000000074
2025-03-24T16:43:44.757293+00:00;13576.830401742469;13576.830401742469;-131.17010999999962
2025-03-24T16:53:40.592833+00:00;13583.45349174247;13583.45349174247;-124.54761000000018
2025-03-24T17:03:35.491913+00:00;13589.28712174247;13589.28712174247;-118.71239000000047
2025-03-24T17:13:40.068770+00:00;13562.70401174247;13562.70401174247;-144.45159000000112
2025-03-24T17:23:44.525610+00:00;13565.456721742468;13565.456721742468;-142.29188000000036
2025-03-24T17:33:39.545744+00:00;13579.63624174247;13579.63624174247;-129.43967000000035
2025-03-24T17:43:44.348879+00:00;13580.83503174247;13580.83503174247;-127.19178000000012
2025-03-24T17:53:39.247216+00:00;13565.52547174247;13565.52547174247;-142.43845999999945
2025-03-24T18:03:44.889647+00:00;13565.51492174247;13565.51492174247;-142.97217000000038
2025-03-24T18:13:42.101065+00:00;13564.76469174247;13564.76469174247;-143.23584000000238
2025-03-24T18:23:38.169077+00:00;13581.60187174247;13581.60187174247;-126.45494000000062
2025-03-24T18:33:44.879604+00:00;13561.06095174247;13561.06095174247;-147.81136
2025-03-24T18:43:38.717831+00:00;13559.81180174247;13559.81180174247;-148.3057900000004
2025-03-24T18:53:42.915052+00:00;13538.17641174247;13538.17641174247;-170.0780999999996
2025-03-24T19:03:36.949400+00:00;13570.98853174247;13570.98853174247;-137.03897999999938
2025-03-24T19:13:40.462240+00:00;13545.982691802468;13546.005768202469;-182.7648499999996
2025-03-24T19:23:36.515397+00:00;13553.58229700247;13553.58229700247;-246.2504399999998
2025-03-24T19:33:42.360385+00:00;13554.702847002469;13554.702847002469;-245.5215099999995
2025-03-24T19:43:37.975040+00:00;13579.93586700247;13579.93586700247;-219.95164999999903
2025-03-24T19:53:42.566397+00:00;13565.986937002472;13565.986937002472;-234.20999999999881
2025-03-24T20:03:37.483346+00:00;13567.701809543845;13567.701809543845;-231.55627000000067
2025-03-24T20:13:43.325217+00:00;13532.234479543846;13532.234479543846;-266.5888600000009
2025-03-24T20:23:38.378456+00:00;13556.016269543847;13556.016269543847;-243.87338999999963
2025-03-24T20:33:42.901075+00:00;13524.946749543846;13524.946749543846;-275.4819600000038
2025-03-24T20:43:37.568225+00:00;13520.434188343846;13520.484319983847;-198.09720000000013
2025-03-24T20:53:43.510806+00:00;13543.273868443852;13543.273868443852;-265.3687899999996
2025-03-24T21:03:39.173495+00:00;13554.293698443851;13554.293698443851;-254.75972000000036
2025-03-24T21:13:42.796840+00:00;13522.84547844385;13522.84547844385;-285.6801999999994
2025-03-24T21:23:36.491424+00:00;13469.904748443852;13469.904748443852;-337.50876999999866
2025-03-24T21:33:41.468656+00:00;13499.880788443852;13499.880788443852;-308.6732799999998
2025-03-24T21:43:35.701394+00:00;13528.912588443853;13528.912588443853;-279.69065999999964
2025-03-24T21:53:40.042801+00:00;13521.660758443852;13521.660758443852;-286.8604300000002
2025-03-24T22:03:44.415425+00:00;13529.217048443852;13529.217048443852;-279.59262999999834
2025-03-24T22:13:39.893670+00:00;13519.069308443852;13519.069308443852;-289.5343299999998
2025-03-24T22:23:36.186129+00:00;13531.001338443852;13531.001338443852;-276.03583000000015
2025-03-24T22:33:41.792017+00:00;13525.210358443852;13525.210358443852;-283.39212000000185
2025-03-24T22:43:37.462492+00:00;13523.618428443851;13523.618428443851;-284.9839200000008
2025-03-24T22:53:42.502843+00:00;13562.604919883845;13562.604919883845;-233.52987000000022
2025-03-24T23:03:37.248160+00:00;13570.800659883844;13570.800659883844;-226.48984999999976
2025-03-24T23:13:44.127791+00:00;13547.248089883844;13547.248089883844;-249.09048000000018
2025-03-24T23:23:39.487702+00:00;13556.471389883844;13556.471389883844;-242.02955999999813
2025-03-24T23:33:44.064735+00:00;13548.412559883844;13548.412559883844;-247.27484999999913
2025-03-24T23:43:39.261563+00:00;13561.657909883845;13561.657909883845;-234.93799999999894
2025-03-24T23:53:45.014555+00:00;13560.006739883844;13560.006739883844;-236.4128200000003
2025-03-25T00:03:40.129201+00:00;13565.11080109271;13565.11080109271;-229.69516000000067
2025-03-25T00:13:38.599067+00:00;13575.98654969271;13576.00920769271;-99.08378000000158
2025-03-25T00:23:45.097711+00:00;13532.11742869271;13532.11742869271;-212.78698000000037
2025-03-25T00:33:39.407480+00:00;13539.586700792712;13539.620621792712;-211.10063000000076
2025-03-25T00:43:37.658065+00:00;13510.42905545274;13510.42905545274;-277.6660900000001
2025-03-25T00:53:42.368991+00:00;13466.790495452738;13466.790495452738;-322.7275600000004
2025-03-25T01:03:37.300493+00:00;13488.866976832736;13488.866976832736;-157.51270000000164
2025-03-25T01:13:36.614564+00:00;13447.515946832737;13447.515946832737;-198.52513
2025-03-25T01:23:42.886139+00:00;13463.082846832736;13463.082846832736;-182.95823000000001
2025-03-25T01:33:38.630473+00:00;13526.808906832737;13526.808906832737;-119.00103999999992
2025-03-25T01:43:36.065575+00:00;13491.359246832737;13491.359246832737;-154.6535199999989
2025-03-25T01:53:41.765576+00:00;13486.879766832737;13486.879766832737;-159.5552000000001
2025-03-25T02:03:37.840036+00:00;13480.771016832736;13480.771016832736;-164.73468000000008
2025-03-25T02:13:44.274592+00:00;13447.377086832737;13447.377086832737;-197.89838999999924
2025-03-25T02:23:40.285576+00:00;13433.406486832737;13433.406486832737;-212.1366599999995
2025-03-25T02:33:36.517873+00:00;13387.162666832737;13387.162666832737;-259.2998000000007
2025-03-25T02:43:44.595511+00:00;13361.649326832738;13361.649326832738;-288.9017700000004
2025-03-25T02:53:39.644296+00:00;13374.064436832738;13374.064436832738;-271.6795499999996
2025-03-25T03:03:35.595162+00:00;13349.192581232739;13349.192581232739;-97.71854999999962
2025-03-25T03:13:40.219109+00:00;13339.359321232738;13339.359321232738;-107.74707999999883
2025-03-25T03:23:44.619740+00:00;13359.668731232738;13359.668731232738;-87.19349999999987
2025-03-25T03:33:39.534509+00:00;13370.635551232739;13370.635551232739;-76.71315000000011
2025-03-25T03:43:39.308123+00:00;13390.412976832744;13390.412976832744;-32.87731000000064
2025-03-25T03:53:44.615684+00:00;13395.081276832745;13395.081276832745;-29.80389000000078
2025-03-25T04:03:40.788253+00:00;13406.24055539796;13406.24055539796;-16.756359999999574
2025-03-25T04:13:45.420381+00:00;13389.886405397961;13389.886405397961;-33.019979999998924
2025-03-25T04:23:40.901249+00:00;13347.30406539796;13347.30406539796;-77.12354999999849
2025-03-25T04:33:36.699511+00:00;13247.290935397961;13247.290935397961;-175.75264000000007
2025-03-25T04:43:43.384595+00:00;13239.914775397961;13239.914775397961;-183.65230999999977
2025-03-25T04:53:38.351571+00:00;13169.288894597961;13169.311450597961;-78.7312300000008
2025-03-25T05:03:42.792365+00:00;13155.310393497963;13155.310393497963;-58.773490000001146
2025-03-25T05:13:38.003641+00:00;13146.315263497961;13146.315263497961;-67.77131999999953
2025-03-25T05:23:42.658954+00:00;13102.40299349796;13102.40299349796;-111.60499000000151
2025-03-25T05:33:37.819583+00:00;13081.61584349796;13081.61584349796;-132.43994000000166
2025-03-25T05:43:44.925156+00:00;13077.135833497961;13077.135833497961;-136.92025000000092
2025-03-25T05:53:41.838443+00:00;13062.52375349796;13062.52375349796;-151.44554999999872
2025-03-25T06:03:37.321883+00:00;13071.253163497962;13071.253163497962;-142.8572800000023
2025-03-25T06:13:44.289509+00:00;13042.521923497961;13042.521923497961;-171.22759000000056
2025-03-25T06:23:41.702734+00:00;13071.860753497962;13071.860753497962;-142.28102999999953
2025-03-25T06:33:38.006633+00:00;13073.251933497962;13073.251933497962;-141.44394999999886
2025-03-25T06:43:45.525391+00:00;13107.04961349796;13107.04961349796;-106.34747000000183
2025-03-25T06:53:39.377377+00:00;13133.317133497962;13133.317133497962;-80.39403999999898
2025-03-25T07:03:44.595846+00:00;13128.73834349796;13128.73834349796;-84.7773999999992
2025-03-25T07:13:42.121358+00:00;13143.326083497963;13143.326083497963;-69.98339999999857
2025-03-25T07:23:38.297827+00:00;13158.702863497962;13158.702863497962;-54.67969999999997
2025-03-25T07:33:44.347832+00:00;13155.477863497961;13155.477863497961;-59.55522000000014
2025-03-25T07:43:41.391737+00:00;13154.51910349796;13154.51910349796;-59.56497999999907
2025-03-25T07:53:36.370287+00:00;13147.862923497962;13147.862923497962;-66.22366999999825
2025-03-25T08:03:41.663807+00:00;13165.782937141046;13165.782937141046;-48.778290000000126
2025-03-25T08:13:38.007681+00:00;13128.444107141046;13128.444107141046;-85.27020999999874
2025-03-25T08:23:42.864196+00:00;13120.834597141045;13120.834597141045;-93.34780999999903
2025-03-25T08:33:38.040538+00:00;13119.527057141044;13119.527057141044;-95.49245999999967
2025-03-25T08:43:44.754027+00:00;13109.512367141044;13109.512367141044;-104.93189000000125
2025-03-25T08:53:39.596298+00:00;13094.866247141044;13094.866247141044;-119.57827000000161
2025-03-25T09:03:45.211040+00:00;13108.418087641045;13108.418087641045;28.502699999999745
2025-03-25T09:13:40.899840+00:00;13091.380457641044;13091.380457641044;11.235649999998223
2025-03-25T09:23:36.396625+00:00;13085.587887641044;13085.587887641044;5.557069999998947
2025-03-25T09:33:42.136985+00:00;13078.516617641044;13078.516617641044;-1.6277899999986933
2025-03-25T09:43:42.290659+00:00;13050.812307641045;13050.812307641045;-29.38950000000017
2025-03-25T09:53:39.314133+00:00;13039.839067641045;13039.839067641045;-40.465949999998145
2025-03-25T10:03:45.308770+00:00;13059.564137641046;13059.564137641046;-20.9444500000004
2025-03-25T10:13:44.480669+00:00;13063.316397641045;13063.316397641045;-15.368810000002153
2025-03-25T10:23:43.829447+00:00;13072.610257641045;13072.610257641045;-7.25367000000118
2025-03-25T10:33:38.723208+00:00;13070.558337641043;13070.558337641043;-9.58588000000112
2025-03-25T10:43:44.455039+00:00;13041.515157641044;13041.515157641044;-38.14196000000096
2025-03-25T10:53:40.408233+00:00;13017.568627641045;13017.568627641045;-62.73948999999912
2025-03-25T11:03:36.547803+00:00;13011.411687641044;13011.411687641044;-68.6304599999998
2025-03-25T11:13:44.683728+00:00;13028.03629300107;13028.03629300107;-114.6248400000012
2025-03-25T11:23:40.660324+00:00;13018.35012300107;13018.35012300107;-123.66712000000068
2025-03-25T11:33:35.630156+00:00;12996.22345300107;12996.22345300107;-146.10986999999872
2025-03-25T11:43:43.043760+00:00;12997.225293001069;12997.225293001069;-143.95733000000104
2025-03-25T11:53:38.928940+00:00;12960.75901300107;12960.75901300107;-179.6497999999996
2025-03-25T12:03:44.571095+00:00;12917.237320273282;12917.237320273282;-84.58086000000041
2025-03-25T12:13:44.464414+00:00;12878.504740273282;12878.504740273282;-122.34643000000088
2025-03-25T12:23:39.910231+00:00;12944.703450273282;12944.703450273282;-57.040340000000434
2025-03-25T12:33:45.525313+00:00;12938.277870273281;12938.277870273281;-63.46362000000055
